<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
09.04.2020;16:49:59;109376;115199;107979;110206;41
09.04.2020;16:51:00;111880;115296;107959;113545;21
09.04.2020;16:52:00;108766;115088;108064;113490;19
09.04.2020;16:52:59;114279;115123;107904;112286;97
09.04.2020;16:53:59;108715;115226;107916;113653;66
09.04.2020;16:55:00;114461;115215;108054;112056;40
09.04.2020;16:56:00;108458;115291;107910;113059;79
09.04.2020;16:56:59;113059;115281;108186;113857;39
09.04.2020;16:57:59;112649;115053;107915;114916;26
09.04.2020;16:59:00;112898;115242;108183;112689;98
09.04.2020;17:00:00;110189;115207;108020;110244;87
09.04.2020;17:00:59;111016;115284;108027;110795;9
09.04.2020;17:02:00;109370;115157;107978;113658;82
09.04.2020;17:03:00;114754;115282;107913;114194;67
09.04.2020;17:04:00;110315;115236;108260;112840;52
09.04.2020;17:04:59;113478;115284;108118;114350;89
09.04.2020;17:06:00;113729;115059;107943;110224;93
09.04.2020;17:07:00;109618;115283;108111;112232;30
09.04.2020;17:08:00;114899;115276;108059;109645;69
09.04.2020;17:08:59;108696;114955;107943;110162;1
09.04.2020;17:10:00;108772;115154;107930;112490;33
09.04.2020;17:11:00;114894;115298;108058;112433;31
09.04.2020;17:12:00;111265;115069;107958;111498;26
09.04.2020;17:12:59;113423;115036;107951;110380;22
09.04.2020;17:14:00;114474;114826;107953;109262;28
09.04.2020;17:15:00;109351;115060;108023;111712;4
09.04.2020;17:16:00;113792;115243;107965;111501;70
09.04.2020;17:17:00;109610;115237;107944;114280;66
09.04.2020;17:18:00;114242;114868;107992;109604;96
09.04.2020;17:19:00;113418;115278;107944;114344;98
09.04.2020;17:20:00;111358;114839;108237;114756;47
09.04.2020;17:21:00;114733;115282;107944;109260;25
09.04.2020;17:22:00;112817;115293;108624;111791;11
09.04.2020;17:23:00;110243;114951;108039;110317;97
09.04.2020;17:24:00;113019;115014;108082;113685;98
09.04.2020;17:25:00;108980;115078;107941;108380;74
09.04.2020;17:26:00;109335;115181;108194;108326;44
09.04.2020;17:27:00;113713;115192;108003;114628;37
09.04.2020;17:28:00;110812;115258;108006;112983;78
09.04.2020;17:29:00;113178;115191;107905;109179;64
09.04.2020;17:30:00;114226;115222;108296;108872;19
09.04.2020;17:31:00;110840;115294;107966;114913;25
09.04.2020;17:32:00;111000;115063;108002;112033;7
09.04.2020;17:33:00;113943;115105;108357;110413;78
09.04.2020;17:33:59;110970;115221;107949;114363;90
09.04.2020;17:34:59;111413;115204;107927;108137;82
09.04.2020;17:36:00;112285;115096;107993;109137;36
09.04.2020;17:37:00;109407;115220;108004;115220;27
09.04.2020;17:37:59;111432;114924;107936;107936;63
09.04.2020;17:38:59;115157;115157;108175;108275;89
09.04.2020;17:40:00;108839;115145;107999;108331;61
09.04.2020;17:41:00;111008;115219;107998;110285;55
09.04.2020;17:41:59;111198;115129;107992;109982;84
09.04.2020;17:42:59;113797;115263;107918;113495;64
09.04.2020;17:44:00;114189;115237;108026;109187;47
09.04.2020;17:45:00;110473;115144;107913;111849;98
09.04.2020;17:45:59;114992;115288;107922;113563;50
09.04.2020;17:47:00;114647;115166;107997;109118;90
09.04.2020;17:48:00;113133;115164;107977;112211;47
09.04.2020;17:49:00;112390;115226;108054;111006;51
09.04.2020;17:49:59;109777;115192;107993;114330;93
09.04.2020;17:51:00;113559;115264;107902;111518;17
09.04.2020;17:52:00;115182;115182;108003;110939;8
09.04.2020;17:53:00;108157;115205;107909;108676;10
09.04.2020;17:53:59;113572;115128;107908;112726;19
09.04.2020;17:55:00;112538;115057;107925;113646;17
09.04.2020;17:56:00;114609;115144;107945;114288;25
09.04.2020;17:57:00;111991;115208;108006;112736;79
09.04.2020;17:57:59;113476;115080;108245;109868;17
09.04.2020;17:59:00;109340;115261;107923;112793;68
09.04.2020;18:00:00;113487;115219;107998;115219;1
09.04.2020;18:01:00;111572;115294;108027;110057;97
09.04.2020;18:02:00;111517;115212;108114;114906;78
09.04.2020;18:03:00;109011;115100;107981;114900;34
09.04.2020;18:04:00;108308;115220;107997;113421;3
09.04.2020;18:05:00;109948;115233;108096;109314;61
09.04.2020;18:06:00;109284;115014;107943;114837;83
09.04.2020;18:07:00;110226;115168;107918;113707;86
09.04.2020;18:08:00;112519;115196;108016;109812;46
09.04.2020;18:09:00;112005;115269;108338;109607;79
09.04.2020;18:10:00;108947;115243;108174;113545;33
09.04.2020;18:11:00;112454;115170;107913;110542;20
09.04.2020;18:12:00;109507;115290;108035;110506;63
09.04.2020;18:13:00;111939;115223;107902;113044;47
09.04.2020;18:14:00;113334;114711;108088;112748;29
09.04.2020;18:15:00;110154;115194;107977;115060;10
09.04.2020;18:16:00;114434;115204;107953;110613;83
09.04.2020;18:17:00;111360;115167;107939;109241;74
09.04.2020;18:18:00;108799;115237;107907;112274;69
09.04.2020;18:18:59;110198;115181;108199;113532;83
09.04.2020;18:19:59;108336;115296;107916;108214;26
09.04.2020;18:21:00;114619;115264;108265;112056;87
09.04.2020;18:22:00;107965;114962;107965;110358;87
09.04.2020;18:22:59;110792;115256;108436;113741;55
09.04.2020;18:23:59;113126;115188;108049;110488;22
09.04.2020;18:25:00;109376;115253;107953;112303;66
09.04.2020;18:26:00;109173;115240;108114;112003;7
09.04.2020;18:26:59;115062;115130;108322;112040;53
09.04.2020;18:29:00;112860;115245;107952;115151;76
09.04.2020;18:30:00;115261;115261;108172;110000;49
09.04.2020;18:30:59;108662;115239;107931;111329;52
09.04.2020;18:32:00;113888;115239;107934;115095;70
09.04.2020;18:33:00;113332;115111;107940;114611;14
09.04.2020;18:34:00;108922;115226;107919;115226;73
09.04.2020;18:34:59;115218;115218;108002;112304;39
09.04.2020;18:36:00;109945;115290;107963;115109;46
09.04.2020;18:37:00;112737;115230;108102;114485;83
09.04.2020;18:38:00;111777;115196;107914;109012;49
09.04.2020;18:38:59;108405;115269;107960;110431;81
09.04.2020;18:40:00;108143;115292;107965;110693;22
09.04.2020;18:41:00;110479;115125;107910;110721;56
09.04.2020;18:42:00;112646;115208;107926;110075;22
09.04.2020;18:42:59;112707;115054;108093;113297;53
09.04.2020;18:44:00;108216;115295;107963;108274;97
09.04.2020;18:45:00;111740;115043;108079;108830;28
09.04.2020;18:46:00;112795;115208;108131;112766;97
09.04.2020;18:47:00;110556;115243;108003;109453;20
09.04.2020;18:48:00;109744;115271;108235;109074;33
09.04.2020;18:49:00;112796;115220;107973;109352;90
09.04.2020;18:50:00;109414;115242;107958;108154;30
09.04.2020;18:51:00;108898;115062;108195;113197;61
09.04.2020;18:52:00;111786;115204;108030;111203;76
09.04.2020;18:53:00;108875;115169;107950;111857;94
09.04.2020;18:54:00;111129;114695;108012;109998;66
09.04.2020;18:55:00;108510;115098;108022;108022;4
09.04.2020;18:56:00;112619;115265;107974;108512;28
09.04.2020;18:57:00;109703;115077;108110;112009;36
09.04.2020;18:58:00;114126;115259;107911;109227;35
09.04.2020;18:59:00;110087;115237;107988;110474;42
09.04.2020;19:00:00;113186;114634;108095;109265;40
09.04.2020;19:01:00;114949;115125;108071;111051;51
09.04.2020;19:02:00;108059;115289;107984;110151;45
09.04.2020;19:03:00;111262;115080;107927;108097;40
09.04.2020;19:04:00;113865;115150;107930;115150;51
09.04.2020;19:05:00;115091;115099;108006;108951;80
09.04.2020;19:06:00;113085;115231;107993;111070;28
09.04.2020;19:07:00;109086;115143;108076;113964;8
09.04.2020;19:08:00;110130;115148;107977;109904;6
09.04.2020;19:09:00;111430;115265;107908;112833;97
09.04.2020;19:10:00;108452;115121;107957;110206;3
09.04.2020;19:11:00;115098;115189;108007;110511;5
09.04.2020;19:12:00;110003;115128;108184;113172;11
09.04.2020;19:13:00;108735;115244;107902;109137;70
09.04.2020;19:14:00;110087;115295;107945;114370;80
09.04.2020;19:15:00;108448;115232;107913;111010;42
09.04.2020;19:16:00;114145;114885;108202;109201;82
09.04.2020;19:17:00;108497;115137;107912;111777;22
09.04.2020;19:18:00;111343;115291;107950;111629;7
09.04.2020;19:19:00;108098;115110;108098;113415;20
09.04.2020;19:19:59;110396;115038;107930;108966;59
09.04.2020;19:21:00;114369;115164;108336;115048;61
09.04.2020;19:22:00;113848;115274;108340;111889;96
09.04.2020;19:23:00;108143;115218;108027;111957;28
09.04.2020;19:23:59;112330;115158;108103;115158;28
09.04.2020;19:25:00;108447;115248;108447;112560;60
09.04.2020;19:26:00;114725;115141;107930;111120;43
09.04.2020;19:27:00;113446;115276;107967;110106;9
09.04.2020;19:27:59;110339;115148;107934;112285;84
09.04.2020;19:29:00;112555;115143;108289;114833;80
09.04.2020;19:30:00;109460;115283;108053;108974;12
09.04.2020;19:31:00;109872;115163;107910;112308;56
09.04.2020;19:32:00;113675;114806;107902;110869;17
09.04.2020;19:33:00;111655;115216;108036;109564;57
09.04.2020;19:34:00;111069;115271;108127;113038;46
09.04.2020;19:35:00;113144;115274;108326;110135;86
09.04.2020;19:36:00;109114;115273;107993;114169;79
09.04.2020;19:37:00;114912;115173;108091;111654;60
09.04.2020;19:38:00;108461;115186;107917;110087;77
09.04.2020;19:39:00;114954;115296;107903;113199;35
09.04.2020;19:40:00;109292;114902;108039;109311;46
09.04.2020;19:41:00;109154;115190;108153;113952;83
09.04.2020;19:42:00;109295;115241;107926;114976;55
09.04.2020;19:43:00;111024;115046;108113;113852;22
09.04.2020;19:44:00;114344;115207;108127;113594;41
09.04.2020;19:45:00;112297;115104;107948;109871;16
09.04.2020;19:46:00;112650;115220;107917;112438;21
09.04.2020;19:47:00;108428;115293;108149;114807;56
09.04.2020;19:48:00;114946;115264;108003;111836;58
09.04.2020;19:49:00;110166;115272;107923;112984;50
09.04.2020;19:50:00;108823;115204;107927;108988;86
09.04.2020;19:51:00;108328;115210;107959;110569;54
09.04.2020;19:52:00;110024;115288;107994;111638;76
09.04.2020;19:53:00;112529;115254;108082;112846;15
09.04.2020;19:54:00;112914;115280;108073;111055;83
09.04.2020;19:55:00;113126;115213;107948;109095;62
09.04.2020;19:56:00;111132;115019;107906;110071;68
09.04.2020;19:57:00;112038;114842;107908;108186;13
09.04.2020;19:58:00;114154;115298;108128;112303;26
09.04.2020;19:59:00;107998;114918;107998;110990;13
09.04.2020;20:00:00;113273;115213;107900;113702;61
09.07.2020;10:00:00;112760;115262;108159;115178;18
09.07.2020;10:01:00;107991;115266;107938;111141;94
09.07.2020;10:02:00;109422;115212;108095;110772;66
09.07.2020;10:03:00;115145;115239;107948;110763;72
09.07.2020;10:04:00;110840;115207;107949;113579;2
09.07.2020;10:05:00;115002;115050;108078;110521;39
09.07.2020;10:06:00;112261;115219;108066;109128;76
09.07.2020;10:07:00;111460;115032;107939;112183;91
09.07.2020;10:08:00;112804;114955;108195;111998;82
09.07.2020;10:09:00;108235;115243;107934;114124;83
09.07.2020;10:11:00;114733;115161;108004;108492;38
09.07.2020;10:12:00;109425;115296;107925;113807;23
09.07.2020;10:13:00;108777;115238;108033;111844;91
09.07.2020;10:14:00;112771;115262;107900;108161;22
09.07.2020;10:15:00;111508;115297;107938;109428;70
09.07.2020;10:16:00;108257;115046;108099;115046;71
09.07.2020;10:17:00;114028;115220;107989;112288;89
09.07.2020;10:18:00;110422;115144;107955;111533;26
09.07.2020;10:19:00;108335;115084;107959;109568;21
09.07.2020;10:20:00;108731;115293;107923;112498;49
09.07.2020;10:21:00;114838;115146;107933;113873;9
09.07.2020;10:22:00;112420;115254;107948;114687;79
09.07.2020;10:23:00;109917;115260;107928;109896;46
09.07.2020;10:24:00;111216;115053;108088;113220;86
09.07.2020;10:24:59;114693;115222;107913;110089;95
09.07.2020;10:26:00;114597;115284;107909;115107;81
09.07.2020;10:26:59;114169;115297;107969;109685;25
09.07.2020;10:28:00;111642;115115;107962;110616;66
09.07.2020;10:28:59;112453;115221;107945;112441;25
09.07.2020;10:30:00;111993;115277;108200;108787;61
09.07.2020;10:31:00;111795;115280;107997;108192;48
09.07.2020;10:32:00;109309;115256;108049;113558;53
09.07.2020;10:33:00;108569;115044;107993;112896;52
09.07.2020;10:34:00;112274;115251;107930;113069;30
09.07.2020;10:35:00;114260;115299;107990;111840;28
09.07.2020;10:36:00;113281;115063;108191;108590;71
09.07.2020;10:37:00;115216;115216;107900;114665;23
09.07.2020;10:38:00;113929;115006;108060;114008;40
09.07.2020;10:39:00;112967;115270;108222;111331;5
09.07.2020;10:40:00;108511;114944;108059;112542;86
09.07.2020;10:41:00;112472;115120;108153;110963;44
09.07.2020;10:42:00;112966;115203;108053;111149;78
09.07.2020;10:43:00;114511;115169;108125;112440;70
09.07.2020;10:44:00;109002;115230;107904;108473;13
09.07.2020;10:45:00;112819;115090;107961;109203;92
09.07.2020;10:46:00;109820;115267;107970;107977;5
09.07.2020;10:47:00;111256;115290;107948;110849;51
09.07.2020;10:48:00;108407;115273;107905;115029;69
09.07.2020;10:49:00;108755;115288;108043;113140;30
09.07.2020;10:50:00;113401;115270;107972;111768;74
09.07.2020;10:51:00;110064;115190;108007;111473;64
09.07.2020;10:52:00;113486;115193;108183;110545;41
09.07.2020;10:53:00;109520;115194;108087;109292;23
09.07.2020;10:54:00;108109;115284;107928;112674;85
09.07.2020;10:55:00;108204;115141;107966;114789;56
09.07.2020;10:56:00;113532;115288;107993;112352;89
09.07.2020;10:57:00;111983;115187;107932;114245;90
09.07.2020;10:58:00;111221;115179;107970;114524;63
09.07.2020;10:59:00;111039;115291;108006;115291;26
09.07.2020;11:00:00;108038;115199;107913;108954;39
09.07.2020;11:01:00;110313;115110;108507;114769;56
09.07.2020;11:02:00;110413;115175;107904;113750;35
09.07.2020;11:03:00;110253;115200;108054;108214;92
09.07.2020;11:04:00;109536;115176;107915;115137;20
09.07.2020;11:05:00;113273;115287;108153;114962;76
09.07.2020;11:06:00;114857;115276;107912;110698;36
09.07.2020;11:07:00;112635;115218;107907;111870;36
09.07.2020;11:08:00;110397;115202;108156;115186;59
09.07.2020;11:09:00;108612;115298;107973;109814;27
09.07.2020;11:09:59;108683;114846;107945;112309;3
09.07.2020;11:11:00;112270;115215;107917;113440;60
09.07.2020;11:11:59;114361;115260;108004;112194;68
09.07.2020;11:13:00;113429;115258;107977;107977;58
09.07.2020;11:13:59;111026;115294;108116;115082;89
09.07.2020;11:15:00;108331;115186;107966;113150;29
09.07.2020;11:16:00;114343;115193;107939;110712;84
09.07.2020;11:17:00;113715;115248;108071;110508;17
09.07.2020;11:18:00;114303;115274;107931;114351;12
09.07.2020;11:19:00;110216;115273;107904;108909;96
09.07.2020;11:20:00;110606;115220;107934;111705;28
09.07.2020;11:21:00;115123;115236;108191;113873;22
09.07.2020;11:22:00;114777;115225;107910;108385;80
09.07.2020;11:23:00;114073;115120;107929;115038;52
09.07.2020;11:24:00;111969;115168;107945;112627;44
09.07.2020;11:25:00;115200;115280;107914;112307;60
09.07.2020;11:26:00;113141;115244;107998;108332;88
09.07.2020;11:27:00;109785;115292;107902;109503;9
09.07.2020;11:28:00;110812;115237;108028;112927;64
09.07.2020;11:29:00;115171;115171;107931;110630;75
09.07.2020;11:30:00;110291;115009;107978;109226;31
09.07.2020;11:31:00;113199;115232;107909;115232;1
09.07.2020;11:32:00;110068;115180;107930;108014;78
09.07.2020;11:33:00;110157;115284;108024;113900;45
09.07.2020;11:34:00;114993;115189;108123;109779;86
09.07.2020;11:35:00;113520;115173;107938;109281;90
09.07.2020;11:36:00;112116;115252;108016;111516;27
09.07.2020;11:37:00;113937;115269;108007;111472;54
09.07.2020;11:38:00;114079;115210;107983;114046;6
09.07.2020;11:39:00;114549;115204;107978;111031;10
09.07.2020;11:40:00;112034;115221;108067;111723;27
09.07.2020;11:41:00;112311;115000;107915;111298;17
09.07.2020;11:42:00;110650;115191;107901;114698;26
09.07.2020;11:43:00;114456;115217;107930;114387;82
09.07.2020;11:44:00;110934;115186;107917;114768;68
09.07.2020;11:45:00;110192;115267;108119;114941;17
09.07.2020;11:46:00;112651;115193;107980;113346;12
09.07.2020;11:47:00;108768;115289;107951;114157;16
09.07.2020;11:48:00;110933;115299;108046;108664;53
09.07.2020;11:49:00;114551;115236;107986;111802;33
09.07.2020;11:51:00;108472;115260;107960;111211;26
09.07.2020;11:52:00;111909;115287;108096;109452;98
09.07.2020;11:53:00;107957;115121;107957;108218;28
09.07.2020;11:54:00;112345;115286;107915;113110;74
09.07.2020;11:54:59;108605;115151;107975;112868;72
09.07.2020;11:56:00;113554;115267;108144;109535;77
09.07.2020;11:56:59;110907;115190;108072;111948;34
09.07.2020;11:58:00;108843;115280;108105;109011;54
09.07.2020;11:58:59;112369;115237;107999;111544;65
09.07.2020;12:00:00;114786;115263;108208;109911;44
09.07.2020;12:01:00;108760;115230;108000;111186;34
09.07.2020;12:02:00;111495;115119;108356;113171;42
09.07.2020;12:03:00;114833;115179;107975;111991;19
09.07.2020;12:04:00;112180;114789;107983;110432;60
09.07.2020;12:05:00;112321;115232;107945;112219;43
09.07.2020;12:06:00;114775;114875;108265;109531;78
09.07.2020;12:07:00;112673;115186;107915;108866;92
09.07.2020;12:08:00;113020;115226;107942;113693;98
09.07.2020;12:09:00;112419;115250;107947;109648;92
09.07.2020;12:10:00;113471;115232;108020;111595;69
09.07.2020;12:11:00;112363;115224;107960;111419;82
09.07.2020;12:12:00;110039;115261;107943;113559;81
09.07.2020;12:13:00;112295;115230;107902;110729;76
09.07.2020;12:14:00;111512;115294;107907;111466;11
09.07.2020;12:15:00;107960;115292;107900;113297;38
09.07.2020;12:16:00;110994;115259;107903;111753;98
09.07.2020;12:17:00;115252;115252;108102;108102;2
09.07.2020;12:18:00;109078;115200;108081;112731;19
09.07.2020;12:18:59;110739;115139;107963;110691;74
09.07.2020;12:20:00;113640;115205;108131;113530;98
09.07.2020;12:20:59;110350;115295;108033;113068;41
09.07.2020;12:22:00;114163;115282;107916;109988;84
09.07.2020;12:22:59;111726;115207;107919;109835;51
09.07.2020;12:24:00;110827;115267;108005;108185;28
09.07.2020;12:24:59;108348;115096;107925;110841;17
09.07.2020;12:26:00;114660;115259;108033;113359;6
09.07.2020;12:26:59;110168;115292;108022;112307;57
09.07.2020;12:28:00;114535;115267;108137;113917;12
09.07.2020;12:28:59;107988;115063;107981;111517;6
09.07.2020;12:30:00;112202;115149;107982;108895;69
09.07.2020;12:31:00;112670;115242;108055;112350;89
09.07.2020;12:32:00;110997;115100;108169;109247;27
09.07.2020;12:33:00;108407;115287;107996;109736;33
09.07.2020;12:34:00;113452;115284;108009;108317;61
09.07.2020;12:35:00;109175;115070;107926;111985;88
09.07.2020;12:36:00;109350;115205;107923;114924;72
09.07.2020;12:37:00;113683;115098;108364;108982;44
09.07.2020;12:38:00;111019;115284;108013;115037;84
09.07.2020;12:39:00;114307;115187;108252;113806;9
09.07.2020;12:40:00;109129;115250;108030;115153;75
09.07.2020;12:41:00;108709;115238;108183;112645;53
09.07.2020;12:42:00;110033;115187;107945;112487;80
09.07.2020;12:43:00;112970;115235;108078;109749;8
09.07.2020;12:44:00;112923;115270;107901;108393;28
09.07.2020;12:45:00;108395;115229;107915;112538;56
09.07.2020;12:46:00;108229;115198;108120;109896;17
09.07.2020;12:47:00;109805;115140;107904;114464;7
09.07.2020;12:48:00;114791;114949;107915;112146;64
09.07.2020;12:49:00;109238;115259;107906;114929;27
09.07.2020;12:50:00;108726;115168;107967;108944;35
09.07.2020;12:51:00;108365;115209;107970;114342;53
09.07.2020;12:52:00;110831;115083;108062;111920;55
09.07.2020;12:53:00;111343;115293;107966;113256;34
09.07.2020;12:54:00;114305;115077;107960;109477;76
09.07.2020;12:55:00;111636;115286;108305;114962;57
09.07.2020;12:56:00;108465;115238;107927;112692;16
09.07.2020;12:57:00;109469;114881;107974;114541;9
09.07.2020;12:58:00;113082;115231;108037;109973;34
09.07.2020;12:59:00;108252;115237;108223;111379;19
09.07.2020;13:00:00;114222;115165;108781;110816;97
09.07.2020;13:01:00;109488;114918;108182;109553;28
09.07.2020;13:02:00;115152;115152;107905;112252;17
09.07.2020;13:03:00;108130;115275;107988;109011;73
09.07.2020;13:03:59;113996;115137;107961;109610;34
09.07.2020;13:05:00;108055;115280;107902;110819;77
09.07.2020;13:05:59;111724;115200;108019;113784;60
09.07.2020;13:07:00;113141;115246;107903;115184;73
09.07.2020;13:07:59;110457;115295;107915;114124;13
09.07.2020;13:09:00;113586;115248;107938;110779;13
09.07.2020;13:09:59;114397;115027;107934;113592;52
09.07.2020;13:11:00;108288;115254;107917;113025;24
09.07.2020;13:11:59;108612;115270;107910;113886;32
09.07.2020;13:13:00;112963;115219;107944;113925;76
09.07.2020;13:13:59;112725;115068;107924;113100;92
09.07.2020;13:15:00;112394;115166;107902;110280;23
09.07.2020;13:16:00;113926;114777;108094;112048;56
09.07.2020;13:17:00;108150;115128;108054;108392;94
09.07.2020;13:18:00;111058;115095;107985;110022;22
09.07.2020;13:19:00;112636;115218;107913;115218;26
09.07.2020;13:20:00;113459;115180;108010;110333;35
09.07.2020;13:21:00;115162;115242;107941;108008;56
09.07.2020;13:22:00;109344;115234;107908;114792;57
09.07.2020;13:23:00;110061;114927;107942;109170;27
09.07.2020;13:24:00;113715;115293;107914;110174;77
09.07.2020;13:25:00;111372;115139;108147;110959;9
09.07.2020;13:26:00;109188;115227;107917;107917;21
09.07.2020;13:27:00;113186;115173;107960;111675;74
09.07.2020;13:28:00;111259;115294;108032;115077;90
09.07.2020;13:29:00;109072;115260;108017;110485;54
09.07.2020;13:30:00;114622;115163;107916;110792;8
09.07.2020;13:31:00;113204;115281;107939;110196;20
09.07.2020;13:32:00;112731;115166;107925;109760;60
09.07.2020;13:33:00;111220;115069;107945;111956;6
09.07.2020;13:34:00;108941;115205;107992;111693;23
09.07.2020;13:35:00;108691;114896;107955;109148;12
09.07.2020;13:36:00;113635;115255;107959;110270;53
09.07.2020;13:37:00;109988;115034;107969;109264;1
09.07.2020;13:38:00;112366;115041;108028;114016;66
09.07.2020;13:39:00;115269;115276;107965;111682;74
09.07.2020;13:40:00;114812;115228;107988;112871;86
09.07.2020;13:41:00;114098;115274;108119;108398;18
09.07.2020;13:42:00;111263;115299;107947;109081;13
09.07.2020;13:43:00;111902;115025;107981;114229;59
09.07.2020;13:44:00;114817;115191;107963;109572;67
09.07.2020;13:45:00;112041;115287;107969;114316;68
09.07.2020;13:46:00;114009;115151;107901;110946;53
09.07.2020;13:47:00;108951;115007;107957;111597;81
09.07.2020;13:48:00;113054;114798;107921;112236;73
09.07.2020;13:48:59;108112;115187;107908;112313;49
09.07.2020;13:50:00;112027;115296;108092;110769;25
09.07.2020;13:50:59;107970;115292;107970;111180;57
09.07.2020;13:52:00;112107;115273;107958;111868;73
09.07.2020;13:52:59;109677;115272;107939;112583;65
09.07.2020;13:54:00;108860;115233;107959;112097;87
09.07.2020;13:54:59;108536;115070;107957;114700;48
09.07.2020;13:56:00;112928;115198;107947;109782;48
09.07.2020;13:56:59;110437;115232;107910;115232;17
09.07.2020;13:58:00;108929;115278;107943;111247;13
09.07.2020;13:58:59;113117;115157;108057;115157;67
09.07.2020;14:00:00;111475;115145;108112;109477;62
09.07.2020;14:01:00;112658;115046;107944;108726;54
09.07.2020;14:02:00;110675;115120;107914;111603;20
09.07.2020;14:03:00;109541;115202;107905;111045;32
09.07.2020;14:04:00;109310;115289;107936;111721;20
09.07.2020;14:05:00;113356;115226;107909;113433;87
09.07.2020;14:06:00;112125;115275;108074;113156;81
09.07.2020;14:07:00;110307;114952;107936;109488;23
09.07.2020;14:08:00;110816;115236;107934;109980;77
09.07.2020;14:09:00;115030;115147;107961;109689;83
09.07.2020;14:10:00;108621;115208;107905;108309;95
09.07.2020;14:11:00;113153;115001;108173;111794;25
09.07.2020;14:12:00;114207;115226;107953;109195;40
09.07.2020;14:13:00;109885;115183;107986;115183;63
09.07.2020;14:14:00;110216;115298;107998;115143;12
09.07.2020;14:15:00;107933;115135;107907;110729;38
09.07.2020;14:16:00;109324;115299;107926;109028;15
09.07.2020;14:17:00;115115;115188;108019;114455;60
09.07.2020;14:18:00;110675;115281;107900;112182;36
09.07.2020;14:19:00;111785;115298;108185;114627;82
09.07.2020;14:20:00;112185;115236;107948;111078;59
09.07.2020;14:21:00;114170;115285;107997;113296;70
09.07.2020;14:22:00;110292;115112;107983;109255;40
09.07.2020;14:23:00;109248;115220;108025;113450;13
09.07.2020;14:24:00;113594;115268;108133;112187;8
09.07.2020;14:25:00;111652;115180;107940;109647;83
09.07.2020;14:26:00;113532;114963;107968;114853;59
09.07.2020;14:27:00;115158;115160;107900;110010;43
09.07.2020;14:28:00;113929;115115;107902;114769;34
09.07.2020;14:29:00;112416;115236;108032;113976;9
09.07.2020;14:30:00;111530;114994;108300;113244;12
09.07.2020;14:31:00;110282;115122;108044;108360;6
09.07.2020;14:32:00;109078;115224;107939;111774;24
09.07.2020;14:33:00;113938;115054;108103;115054;13
09.07.2020;14:33:59;112779;115069;107915;108874;73
09.07.2020;14:35:00;111629;115264;107905;115264;33
09.07.2020;14:35:59;111500;114855;107960;110079;47
09.07.2020;14:37:00;108690;115123;107993;114760;77
09.07.2020;14:37:59;109086;115293;107914;109216;55
09.07.2020;14:39:00;112085;115074;108186;114564;88
09.07.2020;14:39:59;115199;115199;107906;114490;92
09.07.2020;14:41:00;113641;115220;107994;112439;38
09.07.2020;14:41:59;111752;115205;108036;114317;66
09.07.2020;14:43:00;112569;115198;107950;110203;57
09.07.2020;14:43:59;111488;115237;108102;109161;97
09.07.2020;14:45:00;113333;115289;107918;109436;38
09.07.2020;14:46:00;111393;115271;107916;114176;43
09.07.2020;14:47:00;113070;115263;107908;111779;60
09.07.2020;14:48:00;112559;115239;108086;113448;54
09.07.2020;14:49:00;114838;115264;107941;112209;83
09.07.2020;14:50:00;109171;115276;107981;112031;43
09.07.2020;14:51:00;110690;115247;108001;109889;7
09.07.2020;14:52:00;108773;115282;107934;107934;89
09.07.2020;14:53:00;112841;115233;107998;111638;12
09.07.2020;14:54:00;113024;115183;108062;112426;79
09.07.2020;14:55:00;114004;115272;108019;111793;64
09.07.2020;14:56:00;111652;115295;107925;110696;83
09.07.2020;14:57:00;112149;115225;107997;111585;64
09.07.2020;14:58:00;110799;115086;108262;108262;32
09.07.2020;14:59:00;108192;115139;107985;109381;78
09.07.2020;15:00:00;108557;115205;107921;115205;43
09.07.2020;15:01:00;111565;115028;108011;113180;87
09.07.2020;15:02:00;112256;115059;108040;114955;5
09.07.2020;15:03:00;108930;115235;108095;112543;11
09.07.2020;15:04:00;113336;115296;108389;112972;3
09.07.2020;15:05:00;113056;115225;108137;112389;22
09.07.2020;15:06:00;108656;115263;108163;114415;79
09.07.2020;15:07:00;110620;115217;108102;109763;32
09.07.2020;15:08:00;111312;115204;107936;113465;9
09.07.2020;15:09:00;109107;115221;107919;114772;27
09.07.2020;15:10:00;111860;115279;107937;113354;97
09.07.2020;15:11:00;114474;115107;108039;112371;42
09.07.2020;15:12:00;109450;115261;107922;113652;74
09.07.2020;15:13:00;115092;115092;107977;112698;97
09.07.2020;15:14:00;113838;115296;108232;114768;4
09.07.2020;15:15:00;112337;115293;107934;113421;61
09.07.2020;15:16:00;109731;115229;108088;111606;96
09.07.2020;15:17:00;108247;115227;107912;112481;64
09.07.2020;15:18:00;108152;115030;108009;108400;46
09.07.2020;15:18:59;112111;115076;108290;110044;80
09.07.2020;15:20:00;110029;115242;108211;111290;32
09.07.2020;15:20:59;111988;115294;107994;112103;23
09.07.2020;15:22:00;113583;115229;107983;114063;5
09.07.2020;15:22:59;109132;115155;107915;108740;69
09.07.2020;15:24:00;114446;115286;107923;114207;96
09.07.2020;15:24:59;113330;115254;108076;111066;90
09.07.2020;15:26:00;111175;115103;108073;113984;65
09.07.2020;15:26:59;111299;115206;108230;113102;89
